ID,Dlq_stat,amounts,obs_date,Dlq_days,Vertical1,Province1
F145,Current,1111.88,2014-06-30 12:00:00,NA,Vehicle,ON
F146,Current,518.205,2014-06-30 12:00:00,NA,Vehicle,AB
F147,Current,1216.14,2014-06-30 12:00:00,NA,Home Improvement,ON
F148,Current,976.415,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F149,Current,3700.93,2014-06-30 12:00:00,NA,Vehicle,ON
F150,Current,1077.72,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F151,Current,1350.12,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F152,Current,860.343,2014-06-30 12:00:00,NA,Vehicle,AB
F153,Current,4609.02,2014-06-30 12:00:00,NA,Vehicle,ON
F154,Current,1561.11,2014-06-30 12:00:00,NA,Vehicle,AB
F155,Current,1403.27,2014-06-30 12:00:00,NA,Vehicle,AB
F156,Current,267.54,2014-06-30 12:00:00,NA,Vehicle,ON
F157,Current,604.078,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F158,Current,3165.9,2014-06-30 12:00:00,NA,Vehicle,ON
F159,Current,453.933,2014-06-30 12:00:00,NA,Vehicle,AB
F160,Current,284.138,2014-06-30 12:00:00,NA,Home Improvement,ON
F161,Current,596.928,2014-06-30 12:00:00,NA,Vehicle,BC
F162,Current,2596.61,2014-06-30 12:00:00,NA,Vehicle,BC
F163,Current,1390.22,2014-06-30 12:00:00,NA,Home Improvement,AB
F164,Current,2317.11,2014-06-30 12:00:00,NA,Vehicle,AB
F165,Current,884.44,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F166,Current,2206.57,2014-06-30 12:00:00,NA,Vehicle,AB
F167,Current,1585.25,2014-06-30 12:00:00,NA,Vehicle,ON
F168,Current,6770.09,2014-06-30 12:00:00,NA,Vehicle,BC
F169,Current,1426.7,2014-06-30 12:00:00,NA,Home Improvement,ON
F170,Current,3322.93,2014-06-30 12:00:00,NA,Home Improvement,ON
F171,Current,785.057,2014-06-30 12:00:00,NA,Vehicle,BC
F172,Current,4291.5,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F173,Current,591.895,2014-06-30 12:00:00,NA,Vehicle,ON
F174,Current,6910.39,2014-06-30 12:00:00,NA,Vehicle,AB
F175,Current,1127.84,2014-06-30 12:00:00,NA,Vehicle,ON
F176,Current,600.473,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F177,Current,1031.99,2014-06-30 12:00:00,NA,Vehicle,ON
F178,Current,319.792,2014-06-30 12:00:00,NA,Home Improvement,ON
F179,Current,2717.1,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F180,Current,357.013,2014-06-30 12:00:00,NA,Home Improvement,ON
F181,Current,99.8867,2014-06-30 12:00:00,NA,Home Improvement,AB
F182,Current,958.875,2014-06-30 12:00:00,NA,Vehicle,ON
F183,Current,5526.76,2014-06-30 12:00:00,NA,Vehicle,BC
F184,Current,2219.62,2014-06-30 12:00:00,NA,Vehicle,BC
F185,Current,3844.76,2014-06-30 12:00:00,NA,Vehicle,AB
F186,Current,2066.44,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F187,Current,3163.83,2014-06-30 12:00:00,NA,Vehicle,AB
F188,Current,985.403,2014-06-30 12:00:00,NA,Vehicle,ON
F189,Current,1069.53,2014-06-30 12:00:00,NA,Home Improvement,BC
F190,Current,870.427,2014-06-30 12:00:00,NA,Vehicle,AB
F191,Current,742.978,2014-06-30 12:00:00,NA,Vehicle,ON
F192,Current,498.903,2014-06-30 12:00:00,NA,Vehicle,AB
F193,Current,831.548,2014-06-30 12:00:00,NA,Vehicle,ON
F194,Current,3020.44,2014-06-30 12:00:00,NA,Home Improvement,ON
F195,Current,1084.27,2014-06-30 12:00:00,NA,Vehicle,AB
F196,Current,227.763,2014-06-30 12:00:00,NA,Home Improvement,ON
F197,Current,885.1,2014-06-30 12:00:00,NA,Home Improvement,BC
F198,Current,1520.77,2014-06-30 12:00:00,NA,Vehicle,BC
F199,Current,932.31,2014-06-30 12:00:00,NA,Home Improvement,ON
F200,Current,7710.18,2014-06-30 12:00:00,NA,Vehicle,ON
F201,Current,8760.28,2014-06-30 12:00:00,NA,Vehicle,AB
F202,Current,3173.81,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F203,Current,1033.67,2014-06-30 12:00:00,NA,Vehicle,BC
F204,Current,854.708,2014-06-30 12:00:00,NA,Vehicle,ON
F205,Current,3382.92,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F206,Current,2052.36,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F207,Current,4369.86,2014-06-30 12:00:00,NA,Vehicle,ON
F208,Current,824.052,2014-06-30 12:00:00,NA,Home Improvement,ON
F209,Current,942.733,2014-06-30 12:00:00,NA,Vehicle,AB
F210,Current,435.525,2014-06-30 12:00:00,NA,Vehicle,ON
F211,Current,2302.96,2014-06-30 12:00:00,NA,Vehicle,BC
F212,Current,320.658,2014-06-30 12:00:00,NA,Vehicle,BC
F213,Current,381.017,2014-06-30 12:00:00,NA,Vehicle,ON
F214,Current,759.053,2014-06-30 12:00:00,NA,Vehicle,ON
F215,Current,2385.86,2014-06-30 12:00:00,NA,Vehicle,AB
F216,Current,792.59,2014-06-30 12:00:00,NA,Home Improvement,AB
F217,Current,1695.61,2014-06-30 12:00:00,NA,Vehicle,AB
F218,Current,1598.77,2014-06-30 12:00:00,NA,Vehicle,AB
F219,Current,3056.02,2014-06-30 12:00:00,NA,Vehicle,BC
F220,Current,884.09,2014-06-30 12:00:00,NA,Home Improvement,ON
F221,Current,438.877,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F222,Current,680.797,2014-06-30 12:00:00,NA,Vehicle,ON
F223,Current,1982.93,2014-06-30 12:00:00,NA,Vehicle,AB
F224,Current,1390.37,2014-06-30 12:00:00,NA,Vehicle,AB
F225,Current,493.195,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F226,Current,6508.8,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F227,Current,2557.02,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F228,Current,460.213,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F229,Current,5415.17,2014-06-30 12:00:00,NA,Vehicle,BC
F230,Current,2312.61,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F231,Current,2435.36,2014-06-30 12:00:00,NA,Vehicle,BC
F232,Current,405.128,2014-06-30 12:00:00,NA,Vehicle,AB
F233,Current,2119.14,2014-06-30 12:00:00,NA,Vehicle,ON
F234,Current,3790.51,2014-06-30 12:00:00,NA,Vehicle,BC
F235,Current,426.628,2014-06-30 12:00:00,NA,Vehicle,BC
F236,Current,4692.43,2014-06-30 12:00:00,NA,Vehicle,BC
F237,Current,920.107,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F238,Current,519.1,2014-06-30 12:00:00,NA,Vehicle,BC
F239,Current,364.957,2014-06-30 12:00:00,NA,Vehicle,BC
F240,Current,2504.86,2014-06-30 12:00:00,NA,Vehicle,AB
F241,Current,1610.11,2014-06-30 12:00:00,NA,Vehicle,ON
F242,Current,12867.1,2014-06-30 12:00:00,NA,Vehicle,AB
F243,Current,233.12,2014-06-30 12:00:00,NA,Home Improvement,ON
F244,Current,237.18,2014-06-30 12:00:00,NA,Home Improvement,Other Provinces
F245,Current,802.39,2014-06-30 12:00:00,NA,Vehicle,AB
F246,Current,1825.78,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F247,Current,1832.44,2014-06-30 12:00:00,NA,Vehicle,AB
F248,Current,880.632,2014-06-30 12:00:00,NA,Vehicle,AB
F249,Current,1543.8,2014-06-30 12:00:00,NA,Vehicle,AB
F250,Current,1495.57,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F251,Current,1052.93,2014-06-30 12:00:00,NA,Vehicle,AB
F252,Current,4783.29,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F253,Current,1666.96,2014-06-30 12:00:00,NA,Vehicle,BC
F254,Current,648.847,2014-06-30 12:00:00,NA,Vehicle,AB
F255,Current,1829.64,2014-06-30 12:00:00,NA,Vehicle,AB
F256,Current,263.68,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F257,Current,1048.11,2014-06-30 12:00:00,NA,Vehicle,ON
F258,Current,2675.36,2014-06-30 12:00:00,NA,Home Improvement,ON
F259,Current,806.212,2014-06-30 12:00:00,NA,Vehicle,BC
F260,Current,730.59,2014-06-30 12:00:00,NA,Vehicle,BC
F261,Current,1039.32,2014-06-30 12:00:00,NA,Vehicle,ON
F262,Current,245.682,2014-06-30 12:00:00,NA,Vehicle,ON
F263,Current,3514.33,2014-06-30 12:00:00,NA,Vehicle,AB
F264,Current,325.623,2014-06-30 12:00:00,NA,Vehicle,ON
F265,Current,433.023,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F266,Current,631.157,2014-06-30 12:00:00,NA,Vehicle,AB
F267,Current,352.91,2014-06-30 12:00:00,NA,Vehicle,ON
F268,Current,436.507,2014-06-30 12:00:00,NA,Vehicle,ON
F269,Current,2080.51,2014-06-30 12:00:00,NA,Vehicle,AB
F270,Current,2642.92,2014-06-30 12:00:00,NA,Vehicle,BC
F271,Current,451.248,2014-06-30 12:00:00,NA,Vehicle,BC
F272,Current,3858.18,2014-06-30 12:00:00,NA,Vehicle,BC
F273,Current,3368.27,2014-06-30 12:00:00,NA,Vehicle,BC
F274,Current,1311,2014-06-30 12:00:00,NA,Vehicle,BC
F275,Current,819.855,2014-06-30 12:00:00,NA,Vehicle,ON
F276,Current,2975.48,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F277,Current,72.165,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F278,Current,3549.1,2014-06-30 12:00:00,NA,Vehicle,AB
F279,Current,6853.02,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F280,Current,403.517,2014-06-30 12:00:00,NA,Vehicle,ON
F281,Current,1884.75,2014-06-30 12:00:00,NA,Vehicle,AB
F282,Current,783.382,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F283,Current,1080.72,2014-06-30 12:00:00,NA,Vehicle,AB
F284,Current,1061.15,2014-06-30 12:00:00,NA,Home Improvement,BC
F285,Current,1715.27,2014-06-30 12:00:00,NA,Vehicle,BC
F286,Current,1080.22,2014-06-30 12:00:00,NA,Vehicle,BC
F287,Current,1560.68,2014-06-30 12:00:00,NA,Home Improvement,ON
F288,Current,474.537,2014-06-30 12:00:00,NA,Home Improvement,ON
F289,Current,1584.74,2014-06-30 12:00:00,NA,Home Improvement,AB
F290,Current,1563.47,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F291,Current,5761.97,2014-06-30 12:00:00,NA,Vehicle,BC
F292,Current,467.912,2014-06-30 12:00:00,NA,Home Improvement,ON
F293,Current,511.348,2014-06-30 12:00:00,NA,Vehicle,AB
F294,Current,234.863,2014-06-30 12:00:00,NA,Home Improvement,ON
F295,Current,1892.62,2014-06-30 12:00:00,NA,Vehicle,AB
F296,Current,1673.97,2014-06-30 12:00:00,NA,Home Improvement,ON
F297,Current,5477.27,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F298,Current,4880.15,2014-06-30 12:00:00,NA,Vehicle,AB
F299,Current,0,2014-06-30 12:00:00,NA,Vehicle,AB
F300,Current,1979.77,2014-06-30 12:00:00,NA,Vehicle,ON
F301,Current,4621.26,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F302,Current,989.707,2014-06-30 12:00:00,NA,Home Improvement,ON
F303,Current,815.487,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F304,Current,2060.79,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F305,Current,1441.35,2014-06-30 12:00:00,NA,Home Improvement,ON
F306,Current,947.402,2014-06-30 12:00:00,NA,Home Improvement,ON
F307,Current,579.847,2014-06-30 12:00:00,NA,Home Improvement,ON
F308,Current,2562.61,2014-06-30 12:00:00,NA,Vehicle,BC
F309,Current,687.61,2014-06-30 12:00:00,NA,Vehicle,BC
F310,Current,46.7083,2014-06-30 12:00:00,NA,Home Improvement,AB
F311,Current,18.3633,2014-06-30 12:00:00,NA,Vehicle,AB
F312,Current,1377.75,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F313,Current,1900.94,2014-06-30 12:00:00,NA,Vehicle,AB
F314,Current,815.313,2014-06-30 12:00:00,NA,Home Improvement,ON
F315,Current,1725.58,2014-06-30 12:00:00,NA,Vehicle,BC
F316,Current,751.988,2014-06-30 12:00:00,NA,Vehicle,ON
F317,Current,800.648,2014-06-30 12:00:00,NA,Vehicle,BC
F318,Current,2327.28,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F319,Current,1622.88,2014-06-30 12:00:00,NA,Vehicle,AB
F320,Current,596.505,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F321,Current,532.053,2014-06-30 12:00:00,NA,Vehicle,AB
F322,Current,1850.19,2014-06-30 12:00:00,NA,Home Improvement,ON
F323,Current,17.735,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F324,Current,2020.31,2014-06-30 12:00:00,NA,Home Improvement,ON
F325,Current,271.092,2014-06-30 12:00:00,NA,Vehicle,AB
F326,Current,3173,2014-06-30 12:00:00,NA,Vehicle,AB
F327,Current,1783.44,2014-06-30 12:00:00,NA,Vehicle,ON
F328,Current,9640.58,2014-06-30 12:00:00,NA,Vehicle,AB
F329,Current,2095.63,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F330,Current,4424.35,2014-06-30 12:00:00,NA,Vehicle,BC
F331,Current,729.662,2014-06-30 12:00:00,NA,Vehicle,BC
F332,Current,1306.75,2014-06-30 12:00:00,NA,Home Improvement,ON
F333,Current,242.13,2014-06-30 12:00:00,NA,Vehicle,BC
F334,Current,3510.9,2014-06-30 12:00:00,NA,Vehicle,AB
F335,Current,375.922,2014-06-30 12:00:00,NA,Vehicle,ON
F336,Current,3794.23,2014-06-30 12:00:00,NA,Home Improvement,ON
F337,Current,3093.96,2014-06-30 12:00:00,NA,Vehicle,BC
F338,Current,2523.97,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F339,Current,1538.76,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F340,Current,152.818,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F341,Current,412.673,2014-06-30 12:00:00,NA,Vehicle,BC
F342,Current,495.287,2014-06-30 12:00:00,NA,Vehicle,ON
F343,Current,6659.13,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F344,Current,539.215,2014-06-30 12:00:00,NA,Home Improvement,BC
F345,Current,18.8317,2014-06-30 12:00:00,NA,Vehicle,BC
F346,Current,96.595,2014-06-30 12:00:00,NA,Home Improvement,ON
F347,Current,364.232,2014-06-30 12:00:00,NA,Home Improvement,ON
F348,Current,304.412,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F349,Current,909.65,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F350,Current,3460.53,2014-06-30 12:00:00,NA,Vehicle,ON
F351,Current,1123.75,2014-06-30 12:00:00,NA,Vehicle,ON
F352,Current,1557.27,2014-06-30 12:00:00,NA,Home Improvement,BC
F353,Current,2199.22,2014-06-30 12:00:00,NA,Vehicle,ON
F354,Current,1072.62,2014-06-30 12:00:00,NA,Vehicle,ON
F355,Current,783.91,2014-06-30 12:00:00,NA,Vehicle,BC
F356,Current,1414.05,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F357,Current,980.79,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F358,Current,1535.7,2014-06-30 12:00:00,NA,Vehicle,BC
F359,Current,681.518,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F360,Current,1147.31,2014-06-30 12:00:00,NA,Vehicle,AB
F361,Current,226.158,2014-06-30 12:00:00,NA,Home Improvement,ON
F362,Current,1782.64,2014-06-30 12:00:00,NA,Vehicle,BC
F363,Current,829.923,2014-06-30 12:00:00,NA,Vehicle,AB
F364,Current,7184.24,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F365,Current,4008.03,2014-06-30 12:00:00,NA,Vehicle,AB
F366,Current,1016.51,2014-06-30 12:00:00,NA,Home Improvement,ON
F367,Current,11119.6,2014-06-30 12:00:00,NA,Vehicle,BC
F368,Current,2162.41,2014-06-30 12:00:00,NA,Home Improvement,ON
F369,Current,1377.32,2014-06-30 12:00:00,NA,Vehicle,BC
F370,Current,4843.25,2014-06-30 12:00:00,NA,Home Improvement,AB
F371,Current,887.16,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F372,Current,1762.4,2014-06-30 12:00:00,NA,Vehicle,ON
F373,Current,1008.87,2014-06-30 12:00:00,NA,Vehicle,BC
F374,Current,1355.68,2014-06-30 12:00:00,NA,Vehicle,AB
F375,Current,3401.24,2014-06-30 12:00:00,NA,Vehicle,AB
F376,Current,2096.5,2014-06-30 12:00:00,NA,Vehicle,ON
F377,Current,1034.17,2014-06-30 12:00:00,NA,Vehicle,ON
F378,Current,1253.08,2014-06-30 12:00:00,NA,Vehicle,AB
F379,Current,2322.36,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
